,customer_id,age,gender,name
70,C309926,34,Hombre,Daniel Alejandro Castro
71,C493252,47,Mujer,Juliana Rodríguez
72,C109871,38,Hombre,Carlos Alberto Mesa
73,C136117,57,Mujer,María Alejandra Castañeda
74,C258404,67,Hombre,Hector Vargas
75,C169749,41,Hombre,José Soto
76,C199947,40,Mujer,Leidy Johanna Peña
77,C135790,69,Mujer,Ximena Cruz
78,C606418,47,Mujer,Laura Sofía Bedoya
79,C111611,53,Mujer,Alejandra Ríos
80,C679476,40,Hombre,José Ruiz
81,C542025,60,Hombre,José Luis Moreno
82,C168491,30,Hombre,Jerónimo Henao
83,C169650,66,Mujer,Gabriela Álvarez
84,C158160,22,Hombre,Miguel Quintero
85,C552345,53,Hombre,Nicolas Romero
86,C218383,52,Mujer,Valeria Gallego
87,C309438,26,Hombre,Mauricio Rincón
88,C253905,66,Hombre,Andrés Felipe Mejía
89,C992677,65,Hombre,Ricardo Ortiz
90,C584700,43,Mujer,María Camila Marín
91,C157070,59,Mujer,Laura Henao
92,C177975,30,Mujer,Laura Valentina Ochoa
93,C830576,25,Mujer,Sara Ortiz
94,C807389,29,Mujer,Claudia Cárdenas
95,C277842,19,Mujer,Sandra Moreno
96,C183011,62,Hombre,Oscar Zapata
97,C567813,39,Hombre,Julian Romero
98,C282974,33,Mujer,María Isabel Arias
99,C181972,26,Mujer,Laura Valentina Álvarez
100,C189493,43,Hombre,Tomás Gutiérrez
101,C242748,40,Mujer,Andrea López
102,C324683,55,Hombre,Brayan Stiven Mendoza
103,C307921,24,Mujer,Ana María Hernández
104,C152549,24,Hombre,Martín Salazar
105,C111832,30,Mujer,Sara Sofía Cardona
106,C204174,34,Hombre,Sebastián Romero
107,C279370,64,Mujer,Daniela Salazar
108,C907582,57,Mujer,Diana Marín
109,C166635,18,Hombre,Andrés Felipe López
110,C276043,26,Mujer,Juliana Ochoa
111,C282643,19,Mujer,Alejandra Sánchez
112,C820515,22,Mujer,Mariana Osorio
113,C331761,48,Hombre,Daniel Vega
114,C326893,56,Mujer,Valeria Ortiz
115,C306395,35,Hombre,Santiago José Muñoz
116,C885344,60,Mujer,Luz Marina Mora
117,C112750,32,Mujer,Liliana Rojas
118,C274870,27,Hombre,Luis Quintero
119,C199864,56,Mujer,Valeria Montoya
120,C997380,35,Hombre,Ricardo Ruiz
121,C132002,68,Mujer,Antonella Londoño
122,C255058,64,Mujer,Daniela Marín
123,C271799,60,Mujer,Gabriela Sánchez
124,C765620,64,Hombre,Víctor Manuel Ángel
125,C891545,41,Mujer,Ana Lucía Bedoya
126,C519513,30,Hombre,Cristian Camilo Ortiz
127,C125624,40,Hombre,Simón Parra
128,C658980,29,Mujer,Juana Jiménez
129,C319231,25,Hombre,Víctor Manuel Henao
130,C150594,60,Mujer,Laura Sofía Quintero
131,C846730,42,Mujer,Ana María Soto
132,C249877,54,Hombre,Tomás García
133,C200826,50,Mujer,Catalina Botero
134,C263874,54,Hombre,Samuel Cárdenas
135,C663463,45,Mujer,Patricia Parra
136,C134370,40,Mujer,María Camila Mesa
137,C310642,24,Hombre,Alejandro Ramírez
138,C651699,40,Hombre,Francisco Mesa
139,C989693,32,Mujer,Guadalupe Sánchez
140,C123581,28,Mujer,Antonia Zapata
141,C192446,22,Mujer,Alejandra Muñoz
142,C143343,21,Mujer,Sandra Milena Pineda
143,C223343,31,Mujer,Ana Sofía Gómez
144,C309082,61,Mujer,Juana Álvarez
145,C236365,67,Mujer,María Camila Cruz
146,C178734,52,Hombre,Juan Esteban Cruz
147,C223010,44,Hombre,Víctor Manuel López
148,C289933,48,Mujer,María Fernanda Muñoz
149,C340116,53,Mujer,Ximena Ramírez
150,C816586,27,Hombre,David Zapata
151,C434171,28,Mujer,María Fernanda Parra
152,C215384,43,Mujer,Luz Marina Ramírez
153,C143442,54,Hombre,Emiliano Montoya
154,C102926,41,Hombre,Víctor Manuel Quintero
155,C340063,59,Mujer,María Alejandra Parra
156,C131786,32,Mujer,Sandra Milena Cardona
157,C194380,41,Mujer,Natalia Rincón
158,C269623,30,Mujer,Laura Mejía
159,C847171,22,Hombre,Santiago José Ortiz
160,C556552,51,Mujer,Isabella Arias
161,C876528,23,Mujer,Luz Marina Botero
162,C303493,40,Hombre,Andrés Vargas
163,C978718,37,Hombre,Jhon Jairo López
164,C111766,24,Mujer,Laura Valentina Pineda
165,C175946,22,Hombre,Cristian Camilo González
166,C160005,61,Mujer,Luz Marina Martínez
167,C599109,25,Mujer,Diana Vargas
168,C693789,66,Mujer,María Isabel Álvarez
169,C259342,59,Mujer,María Isabel Ochoa
170,C208108,38,Hombre,Oscar Aguirre
171,C244213,34,Hombre,Felipe Soto
172,C102685,26,Mujer,Lorena Henao
173,C244291,59,Mujer,Isabella Martínez
174,C162371,53,Mujer,Sandra Castañeda
175,C375422,23,Hombre,Manuel Rojas
176,C911768,23,Mujer,Laura Valentina Soto
177,C270129,66,Mujer,María José Pineda
178,C617189,56,Mujer,Salomé Rincón
179,C271029,38,Mujer,Diana Ruiz
180,C292356,28,Hombre,Daniel Alejandro Montoya
181,C329633,44,Mujer,Mariana Salazar
182,C244780,26,Mujer,Ana Sofía Gallego
183,C139568,41,Mujer,Ana Sofía Moreno
184,C220281,50,Hombre,Oscar Arias
185,C311034,23,Mujer,Dulce María Mejía
186,C584141,31,Mujer,Patricia Vargas
187,C221934,26,Hombre,Brayan Stiven Díaz
188,C513561,56,Mujer,Ana María Ochoa
189,C257990,34,Mujer,Danna Sofía Castro
190,C168348,29,Mujer,Salomé Ángel
191,C161285,20,Mujer,Liliana Díaz
192,C166191,54,Mujer,Valeria Ángel
193,C172966,40,Hombre,Víctor Manuel Parra
194,C320928,40,Hombre,Juan Esteban Escobar
195,C131497,21,Hombre,Ivan Marín
196,C526660,32,Mujer,Gabriela Zapata
197,C266961,47,Hombre,Ivan Castro
198,C204741,41,Mujer,María Isabel Torres
199,C181619,33,Hombre,Cristian Ochoa
200,C250395,67,Mujer,Natalia Botero
201,C322994,37,Hombre,Cristian Zapata
202,C250673,38,Mujer,Paula Pérez
203,C192978,28,Hombre,Nicolas Rincón
204,C163033,38,Mujer,Ana Lucía Vega
205,C558480,56,Mujer,Ximena Gutiérrez
206,C287409,25,Hombre,Carlos Andrés Mora
207,C993675,66,Hombre,David Rincón
208,C307535,37,Mujer,Ana María Rodríguez
209,C238961,19,Mujer,Sara Osorio
210,C671866,53,Mujer,Sara Valentina Martínez
211,C171154,69,Mujer,Daniela Díaz
212,C848969,69,Hombre,Brayan Stiven Franco
213,C240171,31,Mujer,Gloria Muñoz
214,C665777,39,Hombre,Javier Ruiz
215,C256730,53,Hombre,Hector Jiménez
216,C298229,26,Hombre,Juan Sebastián Escobar
217,C183404,63,Hombre,Francisco Salazar
218,C316398,34,Mujer,María Alejandra Suárez
219,C557245,25,Hombre,José Montoya
220,C662958,20,Mujer,Ana Sofía Mesa
221,C545065,18,Mujer,Paula Londoño
222,C284679,53,Hombre,Miguel Ángel Franco
223,C581947,46,Hombre,Ricardo Pérez
224,C199311,34,Mujer,María Paula García
225,C206501,61,Mujer,Guadalupe Franco
226,C726021,38,Mujer,Antonia Castañeda
227,C448846,67,Mujer,Isabella Gómez
228,C168663,33,Hombre,Julian Rodríguez
229,C616106,63,Mujer,Mariana Ochoa
230,C771066,21,Mujer,Gabriela Castañeda
231,C101196,41,Mujer,Juana Gómez
232,C898405,48,Mujer,Gloria Correa
233,C372643,27,Hombre,Juan Sebastián Vega
234,C195626,22,Mujer,Isabella Jiménez
235,C622748,54,Mujer,Isabel Cárdenas
236,C290280,51,Mujer,María Victoria Franco
237,C281268,29,Mujer,Guadalupe Pérez
238,C826744,44,Mujer,Clara Inés Martínez
239,C252021,20,Mujer,Laura Sofía Ríos
240,C647656,59,Mujer,Natalia Valencia
241,C250065,23,Mujer,Antonia Parra
242,C230766,25,Mujer,Monica Mendoza
243,C243515,63,Hombre,Miguel Ángel Mesa
244,C204632,21,Hombre,Sebastián García
245,C252598,56,Mujer,Alejandra Sánchez
246,C866033,39,Hombre,Brayan Stiven Londoño
247,C288416,50,Hombre,Diego Cardona
248,C340089,54,Mujer,Sara Henao
249,C555040,27,Hombre,Daniel Alejandro Jiménez
250,C809281,56,Hombre,Kevin Santiago Castañeda
251,C375325,53,Mujer,Laura Sofía Quintero
252,C155335,62,Mujer,Claudia Franco
253,C225051,42,Mujer,Isabella Henao
254,C635016,68,Mujer,Sofía Aguirre
255,C165705,27,Hombre,Hector Marín
256,C709571,39,Hombre,Jerónimo Gutiérrez
257,C851508,44,Hombre,Juan Sebastián Álvarez
258,C184126,52,Mujer,Danna Sofía Franco
259,C233642,19,Mujer,Diana Mora
260,C258410,68,Mujer,Patricia Álvarez
261,C270667,22,Hombre,Julian Rodríguez
262,C321527,61,Hombre,Camilo Marín
263,C109489,23,Hombre,José Luis Moreno
264,C103824,34,Hombre,Manuel Ruiz
265,C126571,33,Mujer,Sara Sofía Pérez
266,C169676,60,Mujer,Andrea Ramírez
267,C321889,24,Mujer,María Camila Londoño
268,C212128,53,Hombre,Tomás Cárdenas
269,C301271,22,Hombre,Juan David Soto
270,C221995,50,Hombre,Simón Londoño
271,C318802,49,Hombre,Emiliano Ochoa
272,C263812,31,Hombre,Emiliano González
273,C321609,29,Hombre,Nicolas Suárez
274,C666013,52,Mujer,Leidy Johanna Escobar
275,C172185,67,Mujer,Isabel Rincón
276,C150463,50,Mujer,Sara Sofía Marín
277,C274529,58,Mujer,Juliana Sánchez
278,C242659,50,Mujer,Gabriela Soto
279,C194451,68,Mujer,Juana Gómez
280,C252600,59,Mujer,Clara Inés Restrepo
281,C309645,66,Mujer,Alejandra Mejía
282,C336232,69,Hombre,Juan Camilo Gallego
283,C325906,27,Hombre,Santiago José García
284,C138755,52,Mujer,María Fernanda Gallego
285,C296745,27,Mujer,María Isabel Cardona
286,C221838,43,Mujer,Ana Muñoz
287,C104985,36,Hombre,Emiliano Valencia
288,C826514,19,Mujer,María Paula Moreno
289,C267333,21,Hombre,Fernando Moreno
290,C130479,20,Hombre,Luis Fernando Cárdenas
291,C310108,23,Mujer,Alejandra Romero
292,C358486,52,Mujer,Alejandra Valencia
293,C208738,24,Hombre,Juan José Quintero
294,C111056,20,Mujer,Isabel García
295,C999586,58,Hombre,Brayan Stiven Ochoa
296,C296862,21,Hombre,Sebastián Cruz
297,C101550,35,Hombre,Ivan Jiménez
298,C278142,29,Mujer,Carolina Mendoza
299,C330779,68,Hombre,Daniel Alejandro Mendoza
300,C282968,50,Mujer,Alejandra Castañeda
301,C852668,44,Mujer,Sara Botero
302,C274936,47,Mujer,Patricia Gallego
303,C269751,48,Mujer,Sandra Milena Díaz
304,C136051,39,Mujer,María Alejandra Gallego
305,C266462,27,Hombre,Juan Pablo Ríos
306,C329163,34,Mujer,María Fernanda Valencia
307,C305398,65,Mujer,Sara Valentina Mora
308,C267961,53,Mujer,Monica Mesa
309,C101248,19,Mujer,Monica Ríos
310,C165812,19,Mujer,Isabel Vega
311,C339518,31,Mujer,Sara Jiménez
312,C235057,43,Mujer,Luz Marina Castro
313,C103944,42,Hombre,Emiliano Londoño
314,C260889,58,Hombre,José Ángel
315,C207753,34,Mujer,Lorena Ríos
316,C204154,32,Mujer,Ana Mendoza
317,C290344,27,Hombre,Daniel Martínez
318,C730395,28,Mujer,Sara Valentina Marín
319,C312155,55,Hombre,Sergio Romero
320,C259743,48,Mujer,Laura Valentina Cárdenas
321,C605200,46,Mujer,Ana María Rodríguez
322,C317850,20,Mujer,Leidy Johanna González
323,C986860,39,Hombre,José Luis Pérez
324,C236428,44,Hombre,Ricardo Ochoa
325,C278588,35,Mujer,Monica Rincón
326,C154184,48,Hombre,Sergio García
327,C287459,22,Mujer,Valeria Montoya
328,C617884,52,Mujer,Luz Marina Arias
329,C294024,45,Hombre,Luis Fernando Mora
330,C790567,64,Hombre,Oscar Cruz
331,C799447,38,Hombre,Santiago José Hernández
332,C144628,45,Mujer,Guadalupe Valencia
333,C260810,41,Mujer,Paula Gómez
334,C670524,57,Mujer,Antonella López
335,C334281,57,Hombre,Miguel Hernández
336,C314173,60,Mujer,Juana Ángel
337,C122712,44,Mujer,Danna Sofía Pérez
338,C276111,38,Hombre,Martín Torres
339,C277924,65,Hombre,Javier Muñoz
340,C286466,30,Hombre,Andrés Rincón
341,C327001,50,Mujer,Sara Sofía Mejía
342,C509924,19,Mujer,Manuela Moreno
343,C453635,26,Hombre,José Luis Mesa
344,C259539,54,Mujer,Luciana Soto
345,C729392,63,Mujer,María José Torres
346,C280085,66,Mujer,María Victoria Cruz
347,C767634,48,Mujer,Guadalupe Castañeda
348,C230018,46,Hombre,Tomás Franco
349,C238063,54,Hombre,Jorge Soto
350,C308584,62,Hombre,Diego Ruiz
351,C216619,64,Mujer,Mariana Castro
352,C241523,55,Hombre,Daniel Alejandro Gómez
353,C209761,20,Mujer,Gabriela Hernández
354,C329153,41,Hombre,Nicolas Díaz
355,C126702,54,Hombre,Daniel Alejandro Hernández
356,C287787,34,Hombre,Luis Soto
357,C142943,31,Mujer,Manuela Mora
358,C100484,48,Hombre,Cristian Vega
359,C260213,44,Mujer,Patricia Salazar
360,C210589,42,Mujer,María Victoria Moreno
361,C885556,25,Hombre,Mauricio Mesa
362,C944366,64,Hombre,Luis Suárez
363,C462011,67,Mujer,Gloria Escobar
364,C262366,55,Mujer,Ximena Ortiz
365,C212400,62,Mujer,Salomé Rojas
366,C204307,54,Mujer,Laura Valentina Pineda
367,C162871,43,Mujer,Paola Cárdenas
368,C119825,30,Mujer,Clara Inés Díaz
369,C260171,58,Mujer,Monica Aguirre
370,C244973,49,Hombre,José Martínez
371,C208765,49,Mujer,Gabriela Mejía
372,C321053,19,Mujer,Leidy Johanna Castañeda
373,C183356,58,Mujer,Laura Sofía González
374,C155763,49,Mujer,Tatiana Sánchez
375,C567509,50,Mujer,Isabella Torres
376,C486241,21,Mujer,Catalina Álvarez
377,C306892,21,Hombre,Diego Mora
378,C266819,63,Hombre,Juan Sebastián Mejía
379,C317897,30,Hombre,Brayan Stiven Rojas
380,C545424,66,Hombre,Juan Esteban Díaz
381,C224223,23,Mujer,Tatiana Salazar
382,C286181,69,Mujer,Ana María Castro
383,C144371,45,Mujer,Ana María Mejía
384,C402433,53,Hombre,Mateo López
385,C297425,50,Mujer,Antonella Valencia
386,C222906,45,Mujer,Salomé Jiménez
387,C236397,47,Mujer,Ana María Ángel
388,C309079,36,Mujer,Sofía Álvarez
389,C116633,61,Mujer,Antonia Botero
390,C259606,46,Mujer,Sara Valentina Vargas
391,C333065,47,Hombre,Julian Soto
392,C211494,38,Mujer,Clara Inés Vargas
393,C302831,41,Mujer,Laura Sofía Ruiz
394,C282397,29,Hombre,Luis Gómez
395,C233697,58,Mujer,Isabella Mora
396,C129976,69,Hombre,Santiago Ramírez
397,C812053,53,Mujer,Salomé Vega
398,C324783,26,Hombre,Andrés Vega
399,C281502,53,Hombre,Victor Moreno
400,C433234,63,Mujer,Carolina Gómez
401,C167183,54,Mujer,Antonia Jiménez
402,C311195,54,Mujer,María Camila Marín
403,C107399,45,Hombre,Juan Pablo Mejía
404,C992967,62,Mujer,Juliana Quintero
405,C246719,18,Mujer,Ana María Guerrero
406,C220859,44,Mujer,Salomé Martínez
407,C285422,50,Hombre,Fernando Pérez
408,C217049,31,Hombre,Juan Camilo Ruiz
409,C141094,62,Hombre,Kevin Santiago Castañeda
410,C310628,20,Mujer,Valeria Rojas
411,C297711,65,Mujer,Marcela Osorio
412,C211354,63,Mujer,Daniela Osorio
413,C281864,57,Mujer,Laura Sofía Bedoya
414,C234177,59,Mujer,Alejandra Romero
415,C335822,44,Mujer,María Ruiz
416,C107261,63,Mujer,Antonia Torres
417,C653357,65,Hombre,Samuel Gutiérrez
418,C327084,68,Mujer,Salomé Ruiz
419,C218706,21,Mujer,Sara Sofía Romero
420,C321931,33,Mujer,Claudia Montoya
421,C403983,23,Mujer,María Alejandra Muñoz
422,C137912,49,Mujer,Mariana Peña
423,C229733,57,Hombre,Luis López
424,C304835,54,Mujer,Camila Rincón
425,C124933,41,Mujer,Liliana Restrepo
426,C111115,21,Mujer,Isabella Castañeda
427,C248988,45,Mujer,Luz Marina Arias
428,C162574,58,Mujer,Leidy Johanna Rincón
429,C331880,53,Hombre,Tomás Álvarez
430,C291911,53,Mujer,Alejandra Guerrero
431,C153958,39,Hombre,Camilo Gómez
432,C125209,21,Mujer,Leidy Johanna Ramírez
433,C320640,51,Mujer,Camila Ramírez
434,C803666,50,Hombre,Víctor Manuel Jiménez
435,C134691,50,Mujer,Clara Inés Mesa
436,C729802,61,Hombre,Simón González
437,C252250,44,Hombre,Carlos Alberto Muñoz
438,C208545,31,Mujer,María Isabel Restrepo
439,C310975,64,Hombre,Santiago Álvarez
440,C109758,50,Hombre,Sergio Mendoza
441,C214463,45,Hombre,Juan Sebastián Mesa
442,C387164,29,Mujer,Monica Pérez
443,C135196,33,Mujer,Ana María López
444,C284031,29,Hombre,Juan Muñoz
445,C259260,65,Hombre,Nicolas Hernández
446,C109593,66,Mujer,Sara Valentina Hernández
447,C270238,54,Hombre,Carlos Guerrero
448,C308978,44,Hombre,Gabriel Vega
449,C221607,46,Hombre,Santiago José Gómez
450,C115148,37,Hombre,Gabriel Castro
451,C253248,22,Mujer,Alejandra González
452,C290760,55,Mujer,Catalina Suárez
453,C258089,41,Hombre,Carlos Martínez
454,C222102,42,Hombre,Kevin Santiago Ángel
455,C209440,24,Hombre,Manuel López
456,C203263,43,Mujer,Sandra Rodríguez
457,C232103,40,Hombre,Diego Valencia
458,C213360,22,Mujer,Patricia Sánchez
459,C225105,27,Mujer,Patricia Torres
460,C158124,68,Mujer,Catalina Mejía
461,C246484,48,Mujer,Leidy Johanna García
462,C197019,56,Mujer,Ana Sofía Vargas
463,C947114,25,Hombre,Miguel Ángel Osorio
464,C115431,30,Hombre,Tomás Romero
465,C266394,49,Mujer,Monica Ángel
466,C122371,57,Hombre,Mario Castro
467,C736428,46,Mujer,María Suárez
468,C127339,29,Hombre,Francisco Muñoz
469,C164662,69,Mujer,Ana Lucía Mesa
470,C248884,42,Mujer,Luz Marina Díaz
471,C100684,38,Mujer,Danna Sofía González
472,C240688,46,Mujer,Ana Sofía Montoya
473,C246364,31,Hombre,Manuel Muñoz
474,C195413,26,Hombre,Víctor Manuel Franco
475,C197308,48,Mujer,Patricia Mejía
476,C264767,30,Hombre,Santiago José Gutiérrez
477,C299172,56,Hombre,Sergio Soto
478,C994327,65,Hombre,Mateo Martínez
479,C337644,53,Mujer,Catalina González
480,C175449,43,Mujer,Camila Mora
481,C249092,26,Hombre,Diego Ortiz
482,C432132,23,Hombre,Nicolas Valencia
483,C289802,54,Mujer,Danna Sofía Aguirre
484,C194330,56,Hombre,Hector Arias
485,C127945,37,Mujer,Juana Cardona
486,C202057,48,Hombre,Andrés Rincón
487,C315209,56,Hombre,Maximiliano Salazar
488,C323605,58,Mujer,Natalia Gallego
489,C282395,40,Mujer,Antonia Londoño
490,C109491,38,Mujer,Sara Cardona
491,C261194,40,Mujer,Salomé Castro
492,C232330,64,Hombre,Brayan Stiven Bedoya
493,C737782,28,Hombre,Ivan Vargas
494,C123201,49,Hombre,Juan Pablo Correa
495,C230641,51,Hombre,Esteban Salazar
496,C805154,22,Hombre,Juan Sebastián Ángel
497,C330021,67,Mujer,Camila Cardona
498,C107668,22,Mujer,María Paula Osorio
499,C209722,26,Mujer,Alejandra Hernández
500,C210614,42,Mujer,Catalina Osorio
501,C212378,45,Mujer,Clara Inés Torres
502,C313586,43,Mujer,Sandra Henao
503,C292604,35,Mujer,Leidy Johanna García
504,C216257,49,Hombre,Sebastián Hernández
505,C272779,49,Mujer,Guadalupe Álvarez
506,C100507,33,Hombre,Jerónimo Mora
507,C190072,65,Mujer,María Paula Montoya
508,C111827,40,Hombre,Sergio Ortiz
509,C203955,68,Hombre,Martín Cárdenas
510,C680169,26,Mujer,Isabel Romero
511,C281091,38,Hombre,Santiago José Escobar
512,C209122,56,Mujer,Juana Aguirre
513,C231964,19,Hombre,Ivan Vega
514,C291641,18,Mujer,Liliana Mendoza
515,C315386,55,Hombre,Andrés Mendoza
516,C290158,53,Mujer,Tatiana Mendoza
517,C226218,69,Mujer,Sandra Milena Gómez
518,C633946,27,Hombre,José Luis Restrepo
519,C118742,36,Mujer,Clara Inés Ruiz
520,C218295,61,Mujer,Diana Díaz
521,C636874,43,Mujer,Andrea Sánchez
522,C310472,51,Mujer,Paola Ramírez
523,C119440,38,Hombre,Miguel Ángel Rodríguez
524,C230305,34,Hombre,Santiago Ríos
525,C197131,23,Hombre,José Ramírez
526,C278721,56,Hombre,Manuel Pineda
527,C247868,60,Hombre,Carlos Alberto Ramírez
528,C834257,59,Mujer,Manuela Díaz
529,C242041,43,Hombre,Julian Escobar
530,C892871,55,Hombre,Tomás Mendoza
531,C280596,40,Hombre,Julian Ochoa
532,C703073,43,Mujer,Alejandra Castañeda
533,C282097,59,Hombre,Carlos Gallego
534,C179726,24,Hombre,Francisco Moreno
535,C838282,63,Mujer,Natalia Londoño
536,C181939,31,Hombre,Víctor Manuel Rodríguez
537,C755148,69,Mujer,Gabriela Mejía
538,C282107,36,Mujer,Sandra Marín
539,C102560,54,Mujer,María Valencia
540,C229670,22,Hombre,Daniel Alejandro Ángel
541,C269986,39,Hombre,Ricardo Botero
542,C191300,26,Hombre,Gabriel Restrepo
543,C167158,44,Hombre,Esteban Peña
544,C318225,35,Mujer,María Victoria Peña
545,C101108,66,Mujer,Danna Sofía García
546,C103073,61,Hombre,Gabriel Osorio
547,C299787,30,Mujer,Gabriela Romero
548,C555827,55,Hombre,Miguel Ángel Castañeda
549,C992695,22,Mujer,Valeria Rincón
550,C178176,51,Mujer,Danna Sofía Muñoz
551,C211245,53,Hombre,Santiago Valencia
552,C139231,54,Mujer,Laura Castro
553,C339339,34,Hombre,Brayan Stiven Romero
554,C321993,49,Mujer,Paula Zapata
555,C226519,41,Mujer,Guadalupe Suárez
556,C715684,34,Mujer,Carolina Osorio
557,C328195,59,Mujer,Dulce María Aguirre
558,C284366,20,Mujer,María José Ruiz
559,C354398,23,Mujer,Luz Marina Moreno
560,C317063,25,Mujer,Danna Sofía Restrepo
561,C156360,63,Mujer,Danna Sofía Jiménez
562,C474896,68,Hombre,Daniel Alejandro Cárdenas
563,C140082,58,Hombre,Carlos Alberto Parra
564,C240510,58,Hombre,Andrés Moreno
565,C292758,47,Hombre,Alejandro Escobar
566,C222262,22,Mujer,Natalia Mejía
567,C130016,51,Mujer,Juana Peña
568,C305749,56,Hombre,Fernando Vargas
569,C316261,33,Hombre,Nicolas Jiménez
570,C178487,27,Hombre,Andrés Ruiz
571,C205731,50,Hombre,Juan Sebastián Escobar
572,C171122,49,Mujer,Andrea Peña
573,C266021,52,Mujer,Isabella López
574,C576719,54,Hombre,Daniel Gutiérrez
575,C254022,19,Hombre,Camilo Vega
576,C121489,49,Mujer,Juliana Castro
577,C211545,44,Mujer,Luciana Romero
578,C245349,69,Hombre,Víctor Manuel Rincón
579,C644605,41,Mujer,María Paula Álvarez
580,C293936,25,Mujer,Ximena Valencia
581,C387282,51,Mujer,Andrea Marín
582,C405837,53,Mujer,Sara Gómez
583,C193298,20,Mujer,Juliana Vargas
584,C363987,62,Hombre,Gabriel Botero
585,C995929,30,Mujer,Guadalupe Álvarez
586,C236969,47,Mujer,Lorena Cárdenas
587,C145797,40,Hombre,Ivan Correa
588,C241450,35,Mujer,Ximena Correa
589,C196296,41,Mujer,Sandra Rodríguez
590,C306908,48,Mujer,Antonia Parra
591,C141984,26,Hombre,Daniel Vargas
592,C720642,27,Mujer,Daniela Ruiz
593,C270638,26,Mujer,María Camila Restrepo
594,C858536,65,Mujer,Antonia Montoya
595,C289573,25,Mujer,María José Jiménez
596,C122094,19,Mujer,Claudia Correa
597,C162986,21,Hombre,Victor Ángel
598,C271881,61,Mujer,Alejandra López
599,C214260,65,Mujer,Salomé Castro
600,C209210,23,Mujer,Leidy Johanna Torres
601,C296477,42,Hombre,Esteban Sánchez
602,C134069,33,Hombre,Sebastián Cárdenas
603,C241442,54,Mujer,María Victoria Sánchez
604,C312418,67,Mujer,Salomé Sánchez
605,C127004,41,Mujer,Juana Rojas
606,C198868,57,Mujer,Danna Sofía Hernández
607,C173860,35,Mujer,Antonella Álvarez
608,C186098,62,Hombre,David Rodríguez
609,C285261,26,Hombre,Jorge Muñoz
610,C214662,48,Hombre,Daniel García
611,C163444,57,Mujer,Antonella Jiménez
612,C533520,53,Mujer,Juana Botero
